LIMS	// User ID
11-12-2017	// Evaluation date
P030__5__[321-19-9-43]	17-11-2017	19:09:38:339	// Source file name and timestamp
2000.000	// Sampling rate
4.872	// Data capture period

Sample #	Left_FP	Right_FP	Left_X	Left_Y	Right_X	Right_Y	Global_X	Global_Y	JumpHeight	
20	298.941950	249.437269	-169.981074	280.341048	178.740579	275.862333	-11.360591	278.303847	0.000000	
21	298.904350	249.543487	-169.982696	280.333075	178.754404	275.839934	-11.307493	278.288698	0.000000	
22	298.849923	249.644048	-169.982912	280.328280	178.764050	275.811800	-11.252629	278.272629	0.000000	
23	298.780809	249.735385	-169.981446	280.330624	178.770920	275.778312	-11.197061	278.257990	0.000000	
24	298.701389	249.813921	-169.978027	280.343173	178.776402	275.739154	-11.142512	278.246335	0.000000	
25	298.617680	249.876955	-169.973313	280.368415	178.781587	275.693995	-11.091518	278.238896	0.000000	
26	298.534516	249.922753	-169.968670	280.407408	178.787234	275.642793	-11.046470	278.236253	0.000000	
27	298.452374	249.950428	-169.964834	280.458603	178.793810	275.585824	-11.008002	278.237693	0.000000	
28	298.368035	249.959863	-169.961565	280.519188	178.801503	275.523730	-10.975001	278.241967	0.000000	
29	298.278218	249.951691	-169.958255	280.587316	178.810233	275.457584	-10.946001	278.248543	0.000000	
30	298.182350	249.927318	-169.953971	280.662681	178.819642	275.388990	-10.920006	278.257981	0.000000	
31	298.083463	249.888722	-169.947709	280.745360	178.829155	275.319898	-10.896926	278.271217	0.000000	
32	297.986959	249.837723	-169.939652	280.834016	178.838204	275.251842	-10.878061	278.288242	0.000000	
33	297.897771	249.775263	-169.931676	280.925750	178.846456	275.185145	-10.865693	278.307653	0.000000	
34	297.818654	249.701480	-169.925941	281.017843	178.853787	275.118982	-10.861810	278.327615	0.000000	
35	297.750949	249.616599	-169.923396	281.109013	178.860015	275.052284	-10.867330	278.346956	0.000000	
36	297.696141	249.521542	-169.923745	281.199646	178.864710	274.984335	-10.882406	278.365574	0.000000	
37	297.655982	249.417750	-169.925923	281.291295	178.867257	274.914476	-10.906754	278.384024	0.000000	
38	297.630873	249.307037	-169.928194	281.385165	178.866907	274.842353	-10.939264	278.402799	0.000000	
39	297.618187	249.191179	-169.928704	281.480573	178.862910	274.768960	-10.977890	278.421966	0.000000	
40	297.612726	249.070959	-169.926489	281.574913	178.854831	274.696602	-11.020526	278.441131	0.000000	
41	297.609642	248.945994	-169.921684	281.664884	178.842610	274.627669	-11.065992	278.459563	0.000000	
42	297.606505	248.815349	-169.914996	281.747848	178.826400	274.563781	-11.114224	278.476555	0.000000	
43	297.602319	248.677855	-169.907207	281.822739	178.806489	274.505674	-11.165634	278.491862	0.000000	
44	297.596034	248.532123	-169.899056	281.889615	178.783330	274.453271	-11.220598	278.505482	0.000000	
